Galaxy:,Chi2:,R-Chi2:,AIC:,BIC:
7687,715996.4056,2.193414838,716010.4059,716085.2775
8050,789683.0172,2.977464057,789697.0176,789770.4356
14488,624170.3771,2.9325389,624184.3776,624256.2555
22992,356455.457,1.272955185,356469.4574,356543.2555
23943,319511.1345,1.418712744,319525.135,319597.4083
28653,323942.8069,1.302481613,323956.8073,324029.7754
30502,316575.8668,1.163976008,316589.8672,316663.4613
31644,238268.5392,1.118783962,238282.5397,238354.4218
32021,7455136.65,29.8012354,7455150.65,7455223.659
32739,10308101.38,35.91885714,10308115.38,10308189.35
39103,472695.8527,1.802607083,472709.8532,472783.1917
40489,727671.4824,2.359306551,727685.4827,727759.9572
48659,7048620.029,26.6996217,7048634.029,7048707.415
48728,506166.873,1.890071706,506180.8734,506254.3592
48884,239615.0832,1.105618102,239629.0837,239701.0881
48971,13249400.71,59.38053533,13249414.71,13249486.91
49647,8284774.762,29.89447257,8284788.762,8284862.488
54424,7833002.144,32.54259304,7833016.144,7833088.883
54612,2453663.093,8.403473821,2453677.094,2453751.185
55109.0,0.0,0.0,0.0,0.0
