Galaxy:,Chi2:,R-Chi2:,AIC:,BIC:
7687.0,652337.1327343838,1.4036875799858064,652361.1334057414,652493.7236125071
8050.0,883805.4417781874,2.412923014574062,883829.442629997,883959.1760114895
14488.0,748148.7098276991,2.1004085151482883,748172.7107036336,748302.1089342522
22992.0,674085.218452786,1.4325170402345844,674109.2191158271,674241.9589038459
23943.0,455933.3604417455,1.2863339778406335,455957.36132199987,456086.7005157308
28653.0,452318.1632324299,1.1880817393480914,452342.164051947,452472.3612237345
30502.0,518988.33126533864,1.26337855778161,519012.33202484524,519143.4417816896
31644.0,446730.5963397556,1.3142150150321414,446754.5972576159,446883.4344208768
32021.0,801334.3869236,1.7705682167004724,801358.3876129732,801490.6600387191
32739.0,4586318.021126253,10.15480918679978,4586342.0218170695,4586474.269133262
39103.0,872348.8546110917,2.205942675029439,872372.8554000603,872503.5084522361
40489.0,814083.7372794687,1.715695390606098,814107.7379370154,814240.5775833918
48659.0,600494.42046988,1.4718289095616581,600518.4212346027,600649.4488569672
48728.0,3137237.638962425,8.022312559996381,3137261.63976025,3137392.1588487467
48884.0,424738.5569704105,1.2322728015643847,424762.5578756032,424891.56181412056
48971.0,739375.5815857922,1.860996024640744,739399.582371093,739530.2913417378
49647.0,4625517.433705515,10.466723916912594,4625541.434411517,4625673.420804072
54424.0,5107592.741720358,12.945329606870487,5107616.742511132,5107747.368129586
54612.0,574108.6610265562,1.3988900203618302,574132.6617867864,574263.7601160187
55109.0,442519.8190289514,1.2957020312446421,442543.8199424929,442672.7137050636
